LAY_NO,ITEM_NO,INFO_TYPE,INFO_SUMMERY,LAY_TYPE,SYMBOL_NO,ZAHYO_X,ZAHYO_Y,STRINFO1,STRINFO2,STRINFO3,STR_ZAHYO_X,STR_ZAHYO_Y,ZAHYO_CNT,ZAHYO_ARRAY[0].ZAHYO_X,ZAHYO_ARRAY[0].ZAHYO_Y,ZAHYO_ARRAY[1].ZAHYO_X,ZAHYO_ARRAY[1].ZAHYO_Y,ZAHYO_ARRAY[2].ZAHYO_X,ZAHYO_ARRAY[2].ZAHYO_Y,ZAHYO_ARRAY[3].ZAHYO_X,ZAHYO_ARRAY[3].ZAHYO_Y,ZAHYO_ARRAY[4].ZAHYO_X,ZAHYO_ARRAY[4].ZAHYO_Y,ZAHYO_ARRAY[5].ZAHYO_X,ZAHYO_ARRAY[5].ZAHYO_Y,ZAHYO_ARRAY[6].ZAHYO_X,ZAHYO_ARRAY[6].ZAHYO_Y,ZAHYO_ARRAY[7].ZAHYO_X,ZAHYO_ARRAY[7].ZAHYO_Y,ZAHYO_ARRAY[8].ZAHYO_X,ZAHYO_ARRAY[8].ZAHYO_Y,ZAHYO_ARRAY[9].ZAHYO_X,ZAHYO_ARRAY[9].ZAHYO_Y,ZAHYO_ARRAY[10].ZAHYO_X,ZAHYO_ARRAY[10].ZAHYO_Y,ZAHYO_ARRAY[11].ZAHYO_X,ZAHYO_ARRAY[11].ZAHYO_Y,ZAHYO_ARRAY[12].ZAHYO_X,ZAHYO_ARRAY[12].ZAHYO_Y,ZAHYO_ARRAY[13].ZAHYO_X,ZAHYO_ARRAY[13].ZAHYO_Y,ZAHYO_ARRAY[14].ZAHYO_X,ZAHYO_ARRAY[14].ZAHYO_Y,ZAHYO_ARRAY[15].ZAHYO_X,ZAHYO_ARRAY[15].ZAHYO_Y,ZAHYO_ARRAY[16].ZAHYO_X,ZAHYO_ARRAY[16].ZAHYO_Y,ZAHYO_ARRAY[17].ZAHYO_X,ZAHYO_ARRAY[17].ZAHYO_Y,ZAHYO_ARRAY[18].ZAHYO_X,ZAHYO_ARRAY[18].ZAHYO_Y,ZAHYO_ARRAY[19].ZAHYO_X,ZAHYO_ARRAY[19].ZAHYO_Y,ZAHYO_ARRAY[20].ZAHYO_X,ZAHYO_ARRAY[20].ZAHYO_Y,ZAHYO_ARRAY[21].ZAHYO_X,ZAHYO_ARRAY[21].ZAHYO_Y,ZAHYO_ARRAY[22].ZAHYO_X,ZAHYO_ARRAY[22].ZAHYO_Y,ZAHYO_ARRAY[23].ZAHYO_X,ZAHYO_ARRAY[23].ZAHYO_Y,ZAHYO_ARRAY[24].ZAHYO_X,ZAHYO_ARRAY[24].ZAHYO_Y,ZAHYO_ARRAY[25].ZAHYO_X,ZAHYO_ARRAY[25].ZAHYO_Y,ZAHYO_ARRAY[26].ZAHYO_X,ZAHYO_ARRAY[26].ZAHYO_Y,ZAHYO_ARRAY[27].ZAHYO_X,ZAHYO_ARRAY[27].ZAHYO_Y,ZAHYO_ARRAY[28].ZAHYO_X,ZAHYO_ARRAY[28].ZAHYO_Y,ZAHYO_ARRAY[29].ZAHYO_X,ZAHYO_ARRAY[29].ZAHYO_Y,ZAHYO_ARRAY[30].ZAHYO_X,ZAHYO_ARRAY[30].ZAHYO_Y,ZAHYO_ARRAY[31].ZAHYO_X,ZAHYO_ARRAY[31].ZAHYO_Y,ZAHYO_ARRAY[32].ZAHYO_X,ZAHYO_ARRAY[32].ZAHYO_Y,ZAHYO_ARRAY[33].ZAHYO_X,ZAHYO_ARRAY[33].ZAHYO_Y,ZAHYO_ARRAY[34].ZAHYO_X,ZAHYO_ARRAY[34].ZAHYO_Y,ZAHYO_ARRAY[35].ZAHYO_X,ZAHYO_ARRAY[35].ZAHYO_Y,ZAHYO_ARRAY[36].ZAHYO_X,ZAHYO_ARRAY[36].ZAHYO_Y,ZAHYO_ARRAY[37].ZAHYO_X,ZAHYO_ARRAY[37].ZAHYO_Y,ZAHYO_ARRAY[38].ZAHYO_X,ZAHYO_ARRAY[38].ZAHYO_Y,ZAHYO_ARRAY[39].ZAHYO_X,ZAHYO_ARRAY[39].ZAHYO_Y,ZAHYO_ARRAY[40].ZAHYO_X,ZAHYO_ARRAY[40].ZAHYO_Y,ZAHYO_ARRAY[41].ZAHYO_X,ZAHYO_ARRAY[41].ZAHYO_Y,ZAHYO_ARRAY[42].ZAHYO_X,ZAHYO_ARRAY[42].ZAHYO_Y,ZAHYO_ARRAY[43].ZAHYO_X,ZAHYO_ARRAY[43].ZAHYO_Y,ZAHYO_ARRAY[44].ZAHYO_X,ZAHYO_ARRAY[44].ZAHYO_Y,ZAHYO_ARRAY[45].ZAHYO_X,ZAHYO_ARRAY[45].ZAHYO_Y,ZAHYO_ARRAY[46].ZAHYO_X,ZAHYO_ARRAY[46].ZAHYO_Y,ZAHYO_ARRAY[47].ZAHYO_X,ZAHYO_ARRAY[47].ZAHYO_Y,ZAHYO_ARRAY[48].ZAHYO_X,ZAHYO_ARRAY[48].ZAHYO_Y,ZAHYO_ARRAY[49].ZAHYO_X,ZAHYO_ARRAY[49].ZAHYO_Y,ZAHYO_ARRAY[50].ZAHYO_X,ZAHYO_ARRAY[50].ZAHYO_Y,ZAHYO_ARRAY[51].ZAHYO_X,ZAHYO_ARRAY[51].ZAHYO_Y,ZAHYO_ARRAY[52].ZAHYO_X,ZAHYO_ARRAY[52].ZAHYO_Y,ZAHYO_ARRAY[53].ZAHYO_X,ZAHYO_ARRAY[53].ZAHYO_Y,ZAHYO_ARRAY[54].ZAHYO_X,ZAHYO_ARRAY[54].ZAHYO_Y,ZAHYO_ARRAY[55].ZAHYO_X,ZAHYO_ARRAY[55].ZAHYO_Y,ZAHYO_ARRAY[56].ZAHYO_X,ZAHYO_ARRAY[56].ZAHYO_Y,ZAHYO_ARRAY[57].ZAHYO_X,ZAHYO_ARRAY[57].ZAHYO_Y,ZAHYO_ARRAY[58].ZAHYO_X,ZAHYO_ARRAY[58].ZAHYO_Y,ZAHYO_ARRAY[59].ZAHYO_X,ZAHYO_ARRAY[59].ZAHYO_Y,ZAHYO_ARRAY[60].ZAHYO_X,ZAHYO_ARRAY[60].ZAHYO_Y,ZAHYO_ARRAY[61].ZAHYO_X,ZAHYO_ARRAY[61].ZAHYO_Y,ZAHYO_ARRAY[62].ZAHYO_X,ZAHYO_ARRAY[62].ZAHYO_Y,ZAHYO_ARRAY[63].ZAHYO_X,ZAHYO_ARRAY[63].ZAHYO_Y,ZAHYO_ARRAY[64].ZAHYO_X,ZAHYO_ARRAY[64].ZAHYO_Y,ZAHYO_ARRAY[65].ZAHYO_X,ZAHYO_ARRAY[65].ZAHYO_Y,ZAHYO_ARRAY[66].ZAHYO_X,ZAHYO_ARRAY[66].ZAHYO_Y,ZAHYO_ARRAY[67].ZAHYO_X,ZAHYO_ARRAY[67].ZAHYO_Y,ZAHYO_ARRAY[68].ZAHYO_X,ZAHYO_ARRAY[68].ZAHYO_Y,ZAHYO_ARRAY[69].ZAHYO_X,ZAHYO_ARRAY[69].ZAHYO_Y,ZAHYO_ARRAY[70].ZAHYO_X,ZAHYO_ARRAY[70].ZAHYO_Y,ZAHYO_ARRAY[71].ZAHYO_X,ZAHYO_ARRAY[71].ZAHYO_Y,ZAHYO_ARRAY[72].ZAHYO_X,ZAHYO_ARRAY[72].ZAHYO_Y,ZAHYO_ARRAY[73].ZAHYO_X,ZAHYO_ARRAY[73].ZAHYO_Y,ZAHYO_ARRAY[74].ZAHYO_X,ZAHYO_ARRAY[74].ZAHYO_Y,ZAHYO_ARRAY[75].ZAHYO_X,ZAHYO_ARRAY[75].ZAHYO_Y,ZAHYO_ARRAY[76].ZAHYO_X,ZAHYO_ARRAY[76].ZAHYO_Y,ZAHYO_ARRAY[77].ZAHYO_X,ZAHYO_ARRAY[77].ZAHYO_Y,ZAHYO_ARRAY[78].ZAHYO_X,ZAHYO_ARRAY[78].ZAHYO_Y,ZAHYO_ARRAY[79].ZAHYO_X,ZAHYO_ARRAY[79].ZAHYO_Y,ZAHYO_ARRAY[80].ZAHYO_X,ZAHYO_ARRAY[80].ZAHYO_Y,ZAHYO_ARRAY[81].ZAHYO_X,ZAHYO_ARRAY[81].ZAHYO_Y,ZAHYO_ARRAY[82].ZAHYO_X,ZAHYO_ARRAY[82].ZAHYO_Y,ZAHYO_ARRAY[83].ZAHYO_X,ZAHYO_ARRAY[83].ZAHYO_Y,ZAHYO_ARRAY[84].ZAHYO_X,ZAHYO_ARRAY[84].ZAHYO_Y,ZAHYO_ARRAY[85].ZAHYO_X,ZAHYO_ARRAY[85].ZAHYO_Y,ZAHYO_ARRAY[86].ZAHYO_X,ZAHYO_ARRAY[86].ZAHYO_Y,ZAHYO_ARRAY[87].ZAHYO_X,ZAHYO_ARRAY[87].ZAHYO_Y,ZAHYO_ARRAY[88].ZAHYO_X,ZAHYO_ARRAY[88].ZAHYO_Y,ZAHYO_ARRAY[89].ZAHYO_X,ZAHYO_ARRAY[89].ZAHYO_Y,ZAHYO_ARRAY[90].ZAHYO_X,ZAHYO_ARRAY[90].ZAHYO_Y,ZAHYO_ARRAY[91].ZAHYO_X,ZAHYO_ARRAY[91].ZAHYO_Y,ZAHYO_ARRAY[92].ZAHYO_X,ZAHYO_ARRAY[92].ZAHYO_Y,ZAHYO_ARRAY[93].ZAHYO_X,ZAHYO_ARRAY[93].ZAHYO_Y,ZAHYO_ARRAY[94].ZAHYO_X,ZAHYO_ARRAY[94].ZAHYO_Y,ZAHYO_ARRAY[95].ZAHYO_X,ZAHYO_ARRAY[95].ZAHYO_Y,ZAHYO_ARRAY[96].ZAHYO_X,ZAHYO_ARRAY[96].ZAHYO_Y,ZAHYO_ARRAY[97].ZAHYO_X,ZAHYO_ARRAY[97].ZAHYO_Y,ZAHYO_ARRAY[98].ZAHYO_X,ZAHYO_ARRAY[98].ZAHYO_Y,ZAHYO_ARRAY[99].ZAHYO_X,ZAHYO_ARRAY[99].ZAHYO_Y,UPDATE_DATE,ITEM_NO2
n@15-1,1.53008E+11,15,« NULL »,3,3008,135.467279,34.66933458,« NULL »,« NULL »,« NULL »,0,0,28,135.4669511,34.67021556,135.4671853,34.67039889,135.4676672,34.6708175,135.4677028,34.67073361,135.4679897,34.67023194,135.4680558,34.67011667,135.4682733,34.66973806,135.4683183,34.66965972,135.4686242,34.66912861,135.46873,34.66894333,135.46875,34.66890917,135.4690181,34.66844972,135.4691106,34.66829222,135.4693092,34.6679425,135.4693492,34.66786861,135.4654811,34.66785167,135.46546,34.66788944,135.4652592,34.66824306,135.465215,34.66832139,135.4652089,34.66930639,135.4656408,34.66946972,135.4658347,34.66954639,135.4658683,34.66955917,135.4660708,34.66966194,135.4664044,34.66985083,135.4667339,34.67005778,135.4668469,34.67013944,135.4669511,34.67021556,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,2026/5/21 15:26,1.53008E+11
n@15-1,1.53008E+11,15,« NULL »,3,3008,135.4674922,34.66714444,« NULL »,« NULL »,« NULL »,0,0,14,135.4693492,34.66786861,135.4695033,34.66761139,135.4687506,34.66731778,135.4685283,34.66723111,135.4677469,34.66692694,135.4675128,34.66683583,135.4670883,34.66667083,135.4664875,34.66643639,135.4664622,34.66647861,135.4663131,34.66642028,135.4661694,34.66667028,135.4661156,34.66676278,135.4654811,34.66785167,135.4693492,34.66786861,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,2026/5/21 15:26,1.53008E+11
n@15-1,1.53008E+11,15,« NULL »,3,3008,135.4649925,34.66881389,« NULL »,« NULL »,« NULL »,0,0,6,135.46477,34.66913139,135.4652089,34.66930639,135.465215,34.66832139,135.4650683,34.66858833,135.4649358,34.66883028,135.46477,34.66913139,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,« NULL »,2026/5/21 15:26,1.53008E+11
